iter	Passed	Remaining
596	3906	14119
597	3912	14112
598	3918	14104
599	3925	14097
600	3931	14090
601	3938	14084
602	3944	14078
603	3951	14072
604	3957	14065
605	3964	14058
606	3970	14050
607	3977	14045
608	3983	14038
609	3990	14031
610	3996	14025
611	4003	14018
612	4009	14009
613	4015	14002
614	4022	13996
615	4028	13988
616	4035	13982
617	4041	13975
618	4048	13969
619	4054	13962
620	4061	13955
621	4067	13949
622	4074	13942
623	4080	13936
624	4087	13929
625	4093	13922
626	4100	13916
627	4106	13908
628	4113	13902
629	4119	13894
630	4126	13889
631	4132	13882
632	4139	13877
633	4146	13871
634	4152	13863
635	4158	13856
636	4165	13850
637	4172	13843
638	4178	13836
639	4184	13828
640	4190	13821
641	4197	13814
642	4203	13807
643	4210	13800
644	4216	13794
645	4223	13787
646	4229	13780
647	4236	13773
648	4242	13767
649	4249	13760
650	4255	13753
651	4261	13746
652	4268	13740
653	4275	13734
654	4281	13728
655	4288	13720
656	4294	13714
657	4301	13707
658	4308	13701
659	4314	13695
660	4321	13689
661	4327	13682
662	4333	13675
663	4340	13669
664	4347	13662
665	4353	13654
666	4360	13648
667	4366	13642
668	4372	13634
669	4379	13628
670	4386	13622
671	4392	13615
672	4399	13610
673	4405	13603
674	4412	13597
675	4418	13590
676	4425	13583
677	4431	13576
678	4438	13569
679	4445	13563
680	4451	13556
681	4458	13550
682	4464	13544
683	4471	13537
684	4477	13531
685	4484	13524
686	4490	13518
687	4497	13511
688	4503	13505
689	4510	13498
690	4516	13491
691	4523	13485
692	4530	13479
693	4536	13472
694	4543	13465
695	4549	13458
696	4556	13452
697	4562	13446
698	4568	13438
699	4575	13432
700	4582	13426
701	4588	13418
702	4594	13411
703	4601	13405
704	4607	13398
705	4615	13394
706	4621	13387
707	4628	13380
708	4634	13375
709	4641	13367
710	4647	13360
711	4653	13354
712	4660	13347
713	4667	13341
714	4673	13333
715	4680	13327
716	4686	13321
717	4690	13306
718	4696	13300
719	4703	13294
720	4710	13287
721	4716	13280
722	4723	13274
723	4729	13268
724	4736	13261
725	4742	13255
726	4749	13247
727	4755	13240
728	4761	13233
729	4768	13226
730	4774	13219
731	4780	13212
732	4787	13205
733	4793	13199
734	4800	13192
735	4806	13185
736	4813	13178
737	4819	13172
738	4826	13167
739	4833	13160
740	4839	13153
741	4846	13147
742	4852	13140
743	4858	13133
744	4865	13126
745	4872	13120
746	4878	13112
747	4884	13106
748	4891	13100
749	4897	13092
750	4903	13085
751	4910	13079
752	4916	13072
753	4923	13065
754	4929	13058
755	4935	13050
756	4942	13043
757	4948	13037
758	4954	13030
759	4961	13023
760	4967	13016
761	4974	13010
762	4980	13003
763	4987	12997
764	4993	12990
765	4999	12982
766	5006	12976
767	5013	12970
768	5019	12963
769	5025	12956
770	5032	12949
771	5038	12942
772	5045	12936
773	5051	12928
774	5057	12921
775	5064	12915
776	5070	12908
777	5077	12902
778	5083	12894
779	5090	12888
780	5096	12881
781	5103	12875
782	5109	12868
783	5116	12861
784	5122	12855
785	5128	12848
786	5135	12841
787	5141	12835
788	5148	12829
789	5155	12822
790	5161	12816
791	5167	12808
792	5174	12801
793	5180	12794
794	5187	12788
795	5193	12782
796	5200	12775
797	5206	12768
798	5213	12762
799	5219	12755
800	5225	12748
801	5232	12741
802	5239	12736
803	5245	12729
804	5252	12722
805	5258	12716
806	5265	12709
807	5271	12702
808	5277	12695
809	5284	12689
810	5290	12682
811	5297	12675
812	5303	12668
813	5309	12661
814	5315	12653
815	5322	12646
816	5328	12639
817	5335	12633
818	5341	12627
819	5348	12620
820	5354	12614
821	5361	12608
822	5367	12601
823	5374	12595
824	5381	12588
825	5387	12582
826	5394	12575
827	5400	12568
828	5406	12561
829	5413	12554
830	5418	12546
831	5425	12540
832	5432	12534
833	5439	12528
834	5445	12521
835	5451	12514
836	5458	12508
837	5465	12501
838	5471	12495
839	5477	12488
840	5484	12481
841	5490	12475
842	5497	12468
843	5503	12462
844	5510	12455
845	5517	12449
846	5523	12442
847	5529	12435
848	5536	12429
849	5542	12422
850	5548	12415
851	5555	12408
852	5558	12393
853	5564	12387
854	5571	12381
855	5578	12375
856	5584	12368
857	5591	12362
858	5597	12355
859	5604	12348
860	5610	12342
861	5617	12335
862	5623	12328
863	5629	12321
864	5636	12314
865	5642	12308
866	5648	12300
867	5655	12294
868	5661	12287
869	5668	12280
870	5674	12274
871	5681	12268
872	5687	12262
873	5694	12256
874	5701	12249
875	5708	12243
876	5715	12238
877	5721	12231
878	5727	12224
879	5734	12217
880	5740	12211
881	5747	12205
882	5753	12198
883	5760	12191
884	5766	12185
885	5773	12178
886	5779	12171
887	5786	12165
888	5792	12158
889	5799	12152
890	5805	12146
891	5812	12139
892	5818	12132
893	5825	12125
894	5831	12119
895	5837	12112
896	5844	12105
897	5850	12098
898	5856	12091
899	5863	12085
900	5870	12078
901	5876	12072
902	5882	12065
903	5889	12058
904	5895	12051
905	5903	12047
906	5909	12040
907	5916	12034
908	5922	12027
909	5929	12021
910	5935	12014
911	5942	12008
912	5948	12001
913	5955	11995
914	5961	11988
915	5968	11982
916	5974	11975
917	5980	11968
918	5987	11961
919	5993	11954
920	6000	11948
921	6006	11942
922	6013	11935
923	6019	11929
924	6026	11922
925	6033	11916
926	6039	11909
927	6045	11902
928	6052	11896
929	6058	11889
930	6065	11882
931	6071	11876
932	6077	11869
933	6084	11862
934	6091	11856
935	6097	11850
936	6104	11844
937	6111	11837
938	6117	11831
939	6124	11824
940	6130	11818
941	6137	11811
942	6143	11805
943	6150	11799
944	6156	11792
945	6163	11785
946	6170	11779
947	6176	11772
948	6182	11766
949	6189	11759
950	6195	11752
951	6202	11746
952	6208	11740
953	6215	11732
954	6221	11726
955	6227	11719
956	6234	11713
957	6241	11706
958	6247	11700
959	6254	11694
960	6260	11687
961	6267	11681
962	6273	11674
963	6280	11668
964	6286	11660
965	6292	11653
966	6299	11647
967	6305	11641
968	6312	11635
969	6319	11628
970	6325	11621
971	6331	11615
972	6338	11608
973	6344	11601
974	6351	11594
975	6357	11588
976	6364	11581
977	6370	11574
978	6377	11568
979	6383	11561
980	6390	11555
981	6396	11549
982	6403	11543
983	6410	11537
984	6417	11531
985	6423	11525
986	6430	11518
987	6436	11512
988	6443	11505
989	6449	11498
990	6456	11492
991	6462	11485
992	6469	11478
993	6475	11472
994	6482	11466
995	6488	11459
996	6494	11452
997	6501	11445
998	6508	11439
999	6514	11432
1000	6521	11426
1001	6527	11420
1002	6533	11412
1003	6540	11406
1004	6546	11400
1005	6553	11393
1006	6560	11387
1007	6566	11380
1008	6572	11373
1009	6579	11367
1010	6585	11360
1011	6591	11353
1012	6598	11346
1013	6604	11340
1014	6611	11333
1015	6617	11327
1016	6624	11320
1017	6630	11314
1018	6637	11307
1019	6643	11300
1020	6649	11293
1021	6656	11286
1022	6662	11280
1023	6669	11274
1024	6675	11267
1025	6682	11260
1026	6688	11254
1027	6695	11247
1028	6701	11240
1029	6707	11233
1030	6714	11227
1031	6721	11222
1032	6728	11216
1033	6734	11209
1034	6740	11202
1035	6747	11196
1036	6753	11189
1037	6760	11183
1038	6767	11177
1039	6774	11170
1040	6780	11164
1041	6786	11157
1042	6792	11150
1043	6799	11143
1044	6805	11136
1045	6812	11130
1046	6818	11123
1047	6825	11117
1048	6831	11110
1049	6838	11104
1050	6845	11097
1051	6850	11090
1052	6857	11083
1053	6863	11076
1054	6869	11069
1055	6876	11063
1056	6883	11057
1057	6889	11050
1058	6895	11043
1059	6902	11037
1060	6908	11030
1061	6914	11023
1062	6921	11016
1063	6926	11008
1064	6933	11002
1065	6940	10996
1066	6946	10989
1067	6952	10982
1068	6959	10975
1069	6965	10968
1070	6972	10962
1071	6978	10956
1072	6985	10949
1073	6991	10943
1074	6998	10936
1075	7004	10929
1076	7010	10923
1077	7017	10916
1078	7023	10910
1079	7030	10903
1080	7036	10896
1081	7042	10889
1082	7049	10883
1083	7056	10877
1084	7062	10870
1085	7068	10863
1086	7075	10857
1087	7081	10850
1088	7088	10843
1089	7094	10837
1090	7101	10830
1091	7106	10823
1092	7113	10816
1093	7119	10810
1094	7127	10805
1095	7133	10798
1096	7140	10792
1097	7147	10786
1098	7154	10780
1099	7160	10773
1100	7167	10767
1101	7173	10760
1102	7180	10754
1103	7187	10747
1104	7193	10741
1105	7200	10734
1106	7206	10728
1107	7212	10721
1108	7219	10715
1109	7226	10708
1110	7232	10702
1111	7239	10695
1112	7245	10688
1113	7251	10682
1114	7258	10676
1115	7265	10669
1116	7271	10663
1117	7278	10656
1118	7284	10650
1119	7291	10643
1120	7297	10637
1121	7303	10630
1122	7310	10623
1123	7316	10617
1124	7323	10611
1125	7330	10604
1126	7336	10598
1127	7343	10591
1128	7349	10585
1129	7356	10578
1130	7362	10572
1131	7369	10566
1132	7375	10559
1133	7382	10552
1134	7388	10546
1135	7395	10540
1136	7402	10533
1137	7408	10527
1138	7415	10521
1139	7422	10515
1140	7429	10508
1141	7435	10502
1142	7441	10495
1143	7448	10488
1144	7455	10482
1145	7461	10476
1146	7468	10470
1147	7474	10463
1148	7481	10456
1149	7487	10450
1150	7494	10443
1151	7501	10437
1152	7507	10430
1153	7513	10424
1154	7520	10418
1155	7527	10412
1156	7534	10405
1157	7540	10399
1158	7546	10392
1159	7553	10385
1160	7559	10379
1161	7566	10372
1162	7572	10365
1163	7578	10358
1164	7585	10352
1165	7591	10345
1166	7598	10339
1167	7604	10332
1168	7610	10325
1169	7617	10319
1170	7624	10313
1171	7630	10306
1172	7637	10300
1173	7644	10294
1174	7650	10288
1175	7657	10281
1176	7664	10275
1177	7670	10268
1178	7677	10262
1179	7683	10255
1180	7690	10249
1181	7695	10241
1182	7701	10234
1183	7708	10227
1184	7714	10221
1185	7721	10215
1186	7728	10208
1187	7734	10202
1188	7741	10195
1189	7747	10189
1190	7754	10182
1191	7760	10176
1192	7767	10170
1193	7774	10163
1194	7781	10157
1195	7787	10151
1196	7794	10144
1197	7800	10137
1198	7806	10131
1199	7813	10124
1200	7820	10118
1201	7826	10111
1202	7833	10105
1203	7839	10098
1204	7845	10092
1205	7852	10085
1206	7859	10079
1207	7865	10072
1208	7872	10066
1209	7879	10060
1210	7885	10053
1211	7891	10047
1212	7898	10040
1213	7904	10034
1214	7911	10027
1215	7917	10020
1216	7923	10014
1217	7930	10007
1218	7936	10000
1219	7942	9993
1220	7949	9987
1221	7956	9981
1222	7962	9974
1223	7969	9968
1224	7978	9964
1225	7985	9958
1226	7991	9952
1227	7998	9945
1228	8004	9939
1229	8011	9932
1230	8018	9926
1231	8024	9920
1232	8032	9914
1233	8038	9908
1234	8045	9901
1235	8051	9895
1236	8058	9888
1237	8064	9882
1238	8071	9875
1239	8077	9869
1240	8084	9862
1241	8090	9855
1242	8097	9849
1243	8103	9843
1244	8110	9836
1245	8116	9829
1246	8123	9823
1247	8129	9817
1248	8136	9810
1249	8143	9805
1250	8150	9798
1251	8156	9792
1252	8163	9785
1253	8169	9779
1254	8175	9771
1255	8182	9765
1256	8189	9759
1257	8195	9752
1258	8201	9745
1259	8208	9739
1260	8215	9733
1261	8221	9726
1262	8228	9720
1263	8235	9714
1264	8242	9708
1265	8248	9701
1266	8255	9695
1267	8261	9688
1268	8268	9681
1269	8274	9675
1270	8281	9669
1271	8287	9662
1272	8294	9656
1273	8301	9649
1274	8307	9643
1275	8313	9636
1276	8320	9630
1277	8326	9623
1278	8333	9616
1279	8340	9610
1280	8346	9604
1281	8353	9598
1282	8359	9591
1283	8366	9585
1284	8372	9578
1285	8379	9571
1286	8385	9564
1287	8391	9558
1288	8398	9551
1289	8404	9545
1290	8411	9538
1291	8418	9532
1292	8424	9525
1293	8431	9519
1294	8437	9512
1295	8444	9506
1296	8450	9499
1297	8457	9493
1298	8463	9486
1299	8470	9480
1300	8476	9473
1301	8483	9467
1302	8490	9461
1303	8497	9454
1304	8503	9448
1305	8510	9442
1306	8516	9435
1307	8523	9428
1308	8529	9422
1309	8536	9415
1310	8542	9409
1311	8549	9402
1312	8555	9396
1313	8562	9390
1314	8569	9384
1315	8576	9377
1316	8582	9370
1317	8589	9364
1318	8595	9357
1319	8602	9351
1320	8608	9344
1321	8615	9338
1322	8621	9332
1323	8628	9325
1324	8634	9319
1325	8641	9312
1326	8647	9306
1327	8654	9299
1328	8660	9293
1329	8667	9286
1330	8673	9279
1331	8680	9273
1332	8686	9266
1333	8693	9260
1334	8699	9253
1335	8706	9246
1336	8712	9240
1337	8719	9234
1338	8725	9227
1339	8732	9221
1340	8738	9214
1341	8745	9207
1342	8751	9201
1343	8757	9194
1344	8764	9187
1345	8770	9180
1346	8777	9174
1347	8783	9168
1348	8790	9161
1349	8796	9155
